Id,Measure,ValueAttribute,Value,StringValue,Generatie,Geslacht,Migratieachtergrond,Perioden
503550,M000167,None,14.0,,T001040,T001038,H008567,1995MM01
503556,M000167,None,10.0,,T001040,T001038,H008567,1995MM02
503562,M000167,None,14.0,,T001040,T001038,H008567,1995MM03
503568,M000167,None,3.0,,T001040,T001038,H008567,1995MM04
503574,M000167,None,3.0,,T001040,T001038,H008567,1995MM05
503580,M000167,None,7.0,,T001040,T001038,H008567,1995MM06
503586,M000167,None,7.0,,T001040,T001038,H008567,1995MM07
503592,M000167,None,9.0,,T001040,T001038,H008567,1995MM08
503598,M000167,None,8.0,,T001040,T001038,H008567,1995MM09
503604,M000167,None,9.0,,T001040,T001038,H008567,1995MM10
503610,M000167,None,11.0,,T001040,T001038,H008567,1995MM11
503616,M000167,None,15.0,,T001040,T001038,H008567,1995MM12
503628,M000167,None,14.0,,T001040,T001038,H008567,1996MM01
503634,M000167,None,15.0,,T001040,T001038,H008567,1996MM02
503640,M000167,None,12.0,,T001040,T001038,H008567,1996MM03
503646,M000167,None,9.0,,T001040,T001038,H008567,1996MM04
503652,M000167,None,12.0,,T001040,T001038,H008567,1996MM05
503658,M000167,None,9.0,,T001040,T001038,H008567,1996MM06
503664,M000167,None,11.0,,T001040,T001038,H008567,1996MM07
503670,M000167,None,8.0,,T001040,T001038,H008567,1996MM08
503676,M000167,None,22.0,,T001040,T001038,H008567,1996MM09
503682,M000167,None,15.0,,T001040,T001038,H008567,1996MM10
503688,M000167,None,15.0,,T001040,T001038,H008567,1996MM11
503694,M000167,None,22.0,,T001040,T001038,H008567,1996MM12
503706,M000167,None,13.0,,T001040,T001038,H008567,1997MM01
503712,M000167,None,21.0,,T001040,T001038,H008567,1997MM02
503718,M000167,None,14.0,,T001040,T001038,H008567,1997MM03
503724,M000167,None,13.0,,T001040,T001038,H008567,1997MM04
503730,M000167,None,18.0,,T001040,T001038,H008567,1997MM05
503736,M000167,None,17.0,,T001040,T001038,H008567,1997MM06
503742,M000167,None,16.0,,T001040,T001038,H008567,1997MM07
503748,M000167,None,17.0,,T001040,T001038,H008567,1997MM08
503754,M000167,None,34.0,,T001040,T001038,H008567,1997MM09
503760,M000167,None,29.0,,T001040,T001038,H008567,1997MM10
503766,M000167,None,20.0,,T001040,T001038,H008567,1997MM11
503772,M000167,None,17.0,,T001040,T001038,H008567,1997MM12
503784,M000167,None,31.0,,T001040,T001038,H008567,1998MM01
503790,M000167,None,14.0,,T001040,T001038,H008567,1998MM02
503796,M000167,None,18.0,,T001040,T001038,H008567,1998MM03
503802,M000167,None,8.0,,T001040,T001038,H008567,1998MM04
503808,M000167,None,18.0,,T001040,T001038,H008567,1998MM05
503814,M000167,None,16.0,,T001040,T001038,H008567,1998MM06
503820,M000167,None,15.0,,T001040,T001038,H008567,1998MM07
503826,M000167,None,18.0,,T001040,T001038,H008567,1998MM08
503832,M000167,None,43.0,,T001040,T001038,H008567,1998MM09
503838,M000167,None,26.0,,T001040,T001038,H008567,1998MM10
503844,M000167,None,23.0,,T001040,T001038,H008567,1998MM11
503850,M000167,None,11.0,,T001040,T001038,H008567,1998MM12
503862,M000167,None,29.0,,T001040,T001038,H008567,1999MM01
503868,M000167,None,22.0,,T001040,T001038,H008567,1999MM02
503874,M000167,None,18.0,,T001040,T001038,H008567,1999MM03
503880,M000167,None,24.0,,T001040,T001038,H008567,1999MM04
503886,M000167,None,19.0,,T001040,T001038,H008567,1999MM05
503892,M000167,None,15.0,,T001040,T001038,H008567,1999MM06
503898,M000167,None,18.0,,T001040,T001038,H008567,1999MM07
503904,M000167,None,9.0,,T001040,T001038,H008567,1999MM08
503910,M000167,None,37.0,,T001040,T001038,H008567,1999MM09
503916,M000167,None,41.0,,T001040,T001038,H008567,1999MM10
503922,M000167,None,25.0,,T001040,T001038,H008567,1999MM11
503928,M000167,None,11.0,,T001040,T001038,H008567,1999MM12
503940,M000167,None,27.0,,T001040,T001038,H008567,2000MM01
503946,M000167,None,22.0,,T001040,T001038,H008567,2000MM02
503952,M000167,None,20.0,,T001040,T001038,H008567,2000MM03
503958,M000167,None,15.0,,T001040,T001038,H008567,2000MM04
503964,M000167,None,31.0,,T001040,T001038,H008567,2000MM05
503970,M000167,None,27.0,,T001040,T001038,H008567,2000MM06
503976,M000167,None,25.0,,T001040,T001038,H008567,2000MM07
503982,M000167,None,30.0,,T001040,T001038,H008567,2000MM08
503988,M000167,None,26.0,,T001040,T001038,H008567,2000MM09
503994,M000167,None,42.0,,T001040,T001038,H008567,2000MM10
504000,M000167,None,16.0,,T001040,T001038,H008567,2000MM11
504006,M000167,None,21.0,,T001040,T001038,H008567,2000MM12
504018,M000167,None,33.0,,T001040,T001038,H008567,2001MM01
504024,M000167,None,20.0,,T001040,T001038,H008567,2001MM02
504030,M000167,None,29.0,,T001040,T001038,H008567,2001MM03
504036,M000167,None,21.0,,T001040,T001038,H008567,2001MM04
504042,M000167,None,25.0,,T001040,T001038,H008567,2001MM05
504048,M000167,None,20.0,,T001040,T001038,H008567,2001MM06
504054,M000167,None,32.0,,T001040,T001038,H008567,2001MM07
504060,M000167,None,39.0,,T001040,T001038,H008567,2001MM08
504066,M000167,None,48.0,,T001040,T001038,H008567,2001MM09
504072,M000167,None,45.0,,T001040,T001038,H008567,2001MM10
504078,M000167,None,23.0,,T001040,T001038,H008567,2001MM11
504084,M000167,None,16.0,,T001040,T001038,H008567,2001MM12
504096,M000167,None,44.0,,T001040,T001038,H008567,2002MM01
