Identifier,Index,Title,Description,DimensionGroupId
T001040,1,Totaal,,1
1012600,2,Nederlandse achtergrond,"Persoon met een Nederlandse achtergrond 
 
Persoon van wie de beide ouders in Nederland zijn geboren.",1
2012605,3,Met migratieachtergrond,"Persoon met een migratieachtergrond 
 
Persoon van wie ten minste één ouder in het buitenland is geboren.",1
2012655,4,Westerse migratieachtergrond,"Persoon met een westerse migratieachtergrond 
 
Persoon met als migratieachtergrond een van de landen in Europa (exclusief Turkije), Noord-Amerika en Oceanië, en Indonesië en Japan. 
Op grond van hun sociaal- economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin.",2
2012657,5,Niet-westerse migratieachtergrond,"Persoon met een niet-westerse migratieachtergrond 
 
Persoon met als migratieachtergrond een van de landen in Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije. Op grond van hun sociaal-economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin.",2
2012659,6,Onbekende migratieachtergrond,"Onbekend, Internationaal gebied.",1
H008519,7,Afrika,,3
H008520,8,Amerika,,3
H008524,9,Azië,,3
H007933,10,Europa (excl. Nederlandse achtergrond),"Europa (exclusief personen met een Nederlandse achtergrond) 
 
Persoon met een Nederlandse achtergrond: 
Persoon van wie de beide ouders in Nederland zijn geboren.",3
H008531,11,Oceanië,,3
H007936,12,GIPS landen in de EU,"Landen rond de Middellandse zee die zijn toegetreden tot de Europese Unie. 
Toegetreden per 1 januari 1958: Italië. 
Toegetreden per 1 januari 1981: Griekenland. 
Toegetreden per 1 januari 1986: Portugal en Spanje. 
 
Europese Unie: 
Samenwerkingsverband van Europese staten, onder deze naam opgericht in 1993 door het Verdrag van Maastricht, maar met voorlopers in de jaren """"50 van de vorige eeuw, gericht op het bereiken van gemeenschappelijke doelen op het politieke, economische en juridische vlak. Een belangrijk doel is het vrije verkeer van personen, goederen, diensten en kapitaal binnen het samenwerkingsverband. Op veel terreinen hebben de lidstaten bevoegdheden overgedragen aan het samenwerkingsverband, daarnaast zijn er terreinen waarbij het zelfbeschikkingsrecht van de lidstaten is gehandhaafd en besluiten alleen bij eenstemmigheid kunnen worden genomen.",4
H007937,13,Midden- en Oost-Europese landen in de EU,"Landen in Midden- en Oost-Europa die zijn toegetreden tot de Europese Unie. 
Toegetreden per 1 mei 2004: Estland, Hongarije, Letland, Litouwen, Polen, Slovenië, Slowakije en Tsjechië. 
Toegetreden per 1 januari 2007: Bulgarije en Roemenië. 
Toegetreden per 1 juli 2013: Kroatië. 
 
Europese Unie: 
Samenwerkingsverband van Europese staten, onder deze naam opgericht in 1993 door het Verdrag van Maastricht, maar met voorlopers in de jaren """"50 van de vorige eeuw, gericht op het bereiken van gemeenschappelijke doelen op het politieke, economische en juridische vlak. Een belangrijk doel is het vrije verkeer van personen, goederen, diensten en kapitaal binnen het samenwerkingsverband. Op veel terreinen hebben de lidstaten bevoegdheden overgedragen aan het samenwerkingsverband, daarnaast zijn er terreinen waarbij het zelfbeschikkingsrecht van de lidstaten is gehandhaafd en besluiten alleen bij eenstemmigheid kunnen worden genomen.",4
H007935,14,Europese Unie (excl. Nederlandse acht...,"Europese Unie (exclusief personen met een Nederlandse achtergrond) 

Europese Unie:
Samenwerkingsverband van Europese staten.

De Europese Unie bestaat uit de volgende landen: 
Vanaf 1-1-1958: België, Bondsrepubliek Duitsland, Frankrijk, Italië, Luxemburg en Nederland. 
Toegetreden op 1-1-1973: Denemarken, Ierland en Verenigd Koninkrijk. 
Toegetreden op 1-1-1981: Griekenland. 
Toegetreden op 1-1-1986: Portugal en Spanje. 
Toegetreden op 1-1-1995: Oostenrijk, Finland en Zweden. 
Toegetreden op 1-5-2004: Cyprus, Estland, Hongarije, Letland, Litouwen, Malta, Polen, Slowakije, Slovenië en Tsjechië. 
Toegetreden op 1-1-2007: Bulgarije, Roemenië. 
Toegetreden op 1-7-2013 Kroatië.
Verlaten op 31 januari 2020: Verenigd Koninkrijk.

Persoon met een Nederlandse achtergrond:
Persoon van wie de beide ouders in Nederland zijn geboren.",4
H008533,15,Afghanistan,,9
H008534,16,Albanië,,10
H008535,17,Algerije,,7
H008536,18,Amerikaans-Samoa,,11
H008537,19,Amerikaanse Maagdeneilanden,,8
H008538,20,Andorra,,10
