Id,Measure,ValueAttribute,Value,StringValue,Geboorteland,Geslacht,Herkomstland,Perioden
55224,M000167,None,825.0,,T001638,T001038,H008567,2022MM01
55230,M000167,None,881.0,,T001638,T001038,H008567,2022MM02
55236,M000167,None,835.0,,T001638,T001038,H008567,2022MM03
55242,M000167,None,751.0,,T001638,T001038,H008567,2022MM04
55248,M000167,None,765.0,,T001638,T001038,H008567,2022MM05
55254,M000167,None,827.0,,T001638,T001038,H008567,2022MM06
55260,M000167,None,618.0,,T001638,T001038,H008567,2022MM07
55266,M000167,None,1221.0,,T001638,T001038,H008567,2022MM08
55272,M000167,None,1414.0,,T001638,T001038,H008567,2022MM09
55278,M000167,None,1023.0,,T001638,T001038,H008567,2022MM10
55284,M000167,None,1035.0,,T001638,T001038,H008567,2022MM11
55290,M000167,None,697.0,,T001638,T001038,H008567,2022MM12
55302,M000167,None,831.0,,T001638,T001038,H008567,2023MM01
55308,M000167,None,911.0,,T001638,T001038,H008567,2023MM02
55314,M000167,None,978.0,,T001638,T001038,H008567,2023MM03
55320,M000167,None,708.0,,T001638,T001038,H008567,2023MM04
55326,M000167,None,797.0,,T001638,T001038,H008567,2023MM05
55332,M000167,None,821.0,,T001638,T001038,H008567,2023MM06
55338,M000167,None,608.0,,T001638,T001038,H008567,2023MM07
55344,M000167,None,1180.0,,T001638,T001038,H008567,2023MM08
55350,M000167,None,1204.0,,T001638,T001038,H008567,2023MM09
55356,M000167,None,1047.0,,T001638,T001038,H008567,2023MM10
55362,M000167,None,796.0,,T001638,T001038,H008567,2023MM11
55368,M000167,None,611.0,,T001638,T001038,H008567,2023MM12
55380,M000167,None,796.0,,T001638,T001038,H008567,2024MM01
55386,M000167,None,890.0,,T001638,T001038,H008567,2024MM02
55392,M000167,None,787.0,,T001638,T001038,H008567,2024MM03
55398,M000167,None,711.0,,T001638,T001038,H008567,2024MM04
55404,M000167,None,663.0,,T001638,T001038,H008567,2024MM05
55410,M000167,None,577.0,,T001638,T001038,H008567,2024MM06
55416,M000167,None,607.0,,T001638,T001038,H008567,2024MM07
55422,M000167,None,889.0,,T001638,T001038,H008567,2024MM08
55428,M000167,None,1083.0,,T001638,T001038,H008567,2024MM09
55434,M000167,None,932.0,,T001638,T001038,H008567,2024MM10
55440,M000167,None,667.0,,T001638,T001038,H008567,2024MM11
55446,M000167,None,404.0,,T001638,T001038,H008567,2024MM12
55458,M000167,None,628.0,,T001638,T001038,H008567,2025MM01
55464,M000167,None,660.0,,T001638,T001038,H008567,2025MM02
55470,M000167,None,696.0,,T001638,T001038,H008567,2025MM03
