Identifier,Index,Title,Description,DimensionGroupId
T001040,1,Totaal,,1
1012600,2,Nederland,,2
2012605,3,Buiten Nederland,,1
H007933,4,Europa (exclusief Nederland),"De landen Armenië, Azerbeidzjan, Georgië, Kazachstan, Kirgizië, Oezbekistan, Tadzjikistan, Turkmenistan en Turkije vallen binnen deze indeling onder Azië.",1
H008859,5,Buiten Europa,,1
H008632,6,Indonesië,"Tot en met 20 mei 2002: Indonesië, Nederlands-Indië, Nederlands Nieuw-Guinea en Portugees-Timor. 
Vanaf 20 mei 2002: Indonesië, Nederlands-Indië, Nederlands Nieuw-Guinea. 
Portugees-Timor bestaat per 20 mei 2002 als zelfstandig land onder de naam Timor Leste.",4
H008673,7,Marokko,"Marokko, Ifni, Spaanse Sahara, Westelijke Sahara.",4
H007119,8,Nederlandse Cariben,"De benaming 'Nederlandse Cariben' vervangt de oude term '(voormalige) Nederlandse Antillen en Aruba'. 
 
Betreft een samentelling van de eilanden die tot het grondgebied van de Nederlandse Antillen en Aruba van vóór 10 oktober 2010 behoorden. Het gaat om de eilanden Bonaire, Curaçao, Saba, Sint-Eustatius, Sint-Maarten en Aruba. 
 
Vanaf 10 oktober 2010 zijn de Nederlandse Antillen ontbonden. Het Koninkrijk der Nederlanden bestaat dan uit vier landen: Nederland, Aruba, Curaçao en Sint Maarten. Alle eilanden hebben een nieuwe status. 
Curaçao en Sint Maarten zijn nieuwe landen binnen het Koninkrijk. Met een 'Status aparte' binnen het Koninkrijk zijn Curaçao en Sint Maarten autonome landen. De landen hebben een zelfstandig bestuur en zijn niet meer afhankelijk van Nederland. De openbare lichamen Bonaire, Sint Eustatius en Saba, ook wel Caribisch Nederland, hebben een diepere band met Nederland en functioneren als bijzondere gemeente van Nederland. 
 
Op 1 januari 1986 werd Aruba afgescheiden van de Nederlandse Antillen. Sinds die datum is Aruba een nieuw land binnen het Koninkrijk der Nederlanden. Met een 'Status aparte' binnen het Koninkrijk is Aruba een autonoom land. Aruba heeft een zelfstandig bestuur en is niet meer afhankelijk van Nederland.",4
H008751,9,Suriname,,4
H008766,10,Turkije,,4
H008860,11,Afrika (exclusief Marokko),,1
H008861,12,Amerika en Oceanië (ex. Suriname en N...,Amerika en Oceanië (exclusief Suriname en Nederlandse Cariben),1
H008862,13,Azië (exclusief Indonesië en Turkije),,1
H008519,14,Afrika,,1
H008520,15,Amerika,,1
H008524,16,Azië,"De landen Armenië, Azerbeidzjan, Georgië, Kazachstan, Kirgizië, Oezbekistan, Tadzjikistan, Turkmenistan en Turkije vallen binnen deze indeling onder Azië.",1
H008531,17,Oceanië,,1
H007935,18,Europese Unie (exclusief Nederland),"Europese Unie: 
Samenwerkingsverband van Europese staten. 
 
De Europese Unie bestaat uit de volgende landen: 
Vanaf 1-1-1958: België, Bondsrepubliek Duitsland, Frankrijk, Italië, Luxemburg en Nederland. 
Toegetreden op 1-1-1973: Denemarken, Ierland en Verenigd Koninkrijk. 
Toegetreden op 1-1-1981: Griekenland. 
Toegetreden op 1-1-1986: Portugal en Spanje. 
Toegetreden op 1-1-1995: Oostenrijk, Finland en Zweden. 
Toegetreden op 1-5-2004: Cyprus, Estland, Hongarije, Letland, Litouwen, Malta, Polen, Slowakije, Slovenië en Tsjechië. 
Toegetreden op 1-1-2007: Bulgarije, Roemenië. 
Toegetreden op 1-7-2013 Kroatië. 
Verlaten op 31 januari 2020: Verenigd Koninkrijk.",3
H007936,19,GIPS landen in de EU,"Landen rond de Middellandse zee die zijn toegetreden tot de Europese Unie. 
Toegetreden per 1 januari 1958: Italië. 
Toegetreden per 1 januari 1981: Griekenland. 
Toegetreden per 1 januari 1986: Portugal en Spanje. 
 
Europese Unie: 
Samenwerkingsverband van Europese staten, onder deze naam opgericht in 1993 door het Verdrag van Maastricht, maar met voorlopers in de jaren """"50 van de vorige eeuw, gericht op het bereiken van gemeenschappelijke doelen op het politieke, economische en juridische vlak. Een belangrijk doel is het vrije verkeer van personen, goederen, diensten en kapitaal binnen het samenwerkingsverband. Op veel terreinen hebben de lidstaten bevoegdheden overgedragen aan het samenwerkingsverband, daarnaast zijn er terreinen waarbij het zelfbeschikkingsrecht van de lidstaten is gehandhaafd en besluiten alleen bij eenstemmigheid kunnen worden genomen.",3
