freq,nace_r2_1,sizeclas,s_adj,indic_em,geo,time,value
Q,A-T,TOTAL,SA,JVR,BG,2001-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2001-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2001-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2001-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2002-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2002-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2002-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2002-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2003-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2003-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2003-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2003-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2004-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2004-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2004-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2004-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2005-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2005-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2005-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2005-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2006-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2006-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2006-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2006-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2007-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2007-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2007-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2007-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2008-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2008-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2008-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2008-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2009-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2009-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2009-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2009-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2010-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2010-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2010-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2010-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2011-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2011-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2011-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2011-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2012-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2012-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2012-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2012-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2013-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2013-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2013-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2013-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2014-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2014-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2014-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2014-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2015-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2015-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2015-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2015-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2016-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2016-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2016-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2016-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2017-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2017-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2017-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2017-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2018-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2018-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2018-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2018-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2019-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2019-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2019-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2019-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2020-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2020-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2020-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2020-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2021-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2021-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2021-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2021-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2022-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2022-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2022-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2022-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2023-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2023-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2023-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2023-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2024-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2024-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2024-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2024-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2025-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2025-Q2,
Q,A-T,TOTAL,SA,JVR,BG,2025-Q3,
Q,A-T,TOTAL,SA,JVR,BG,2025-Q4,
Q,A-T,TOTAL,SA,JVR,BG,2026-Q1,
Q,A-T,TOTAL,SA,JVR,BG,2026-Q2,
Q,A-T,TOTAL,SA,JVR,NL,2001-Q1,
Q,A-T,TOTAL,SA,JVR,NL,2001-Q2,
Q,A-T,TOTAL,SA,JVR,NL,2001-Q3,
Q,A-T,TOTAL,SA,JVR,NL,2001-Q4,
Q,A-T,TOTAL,SA,JVR,NL,2002-Q1,
Q,A-T,TOTAL,SA,JVR,NL,2002-Q2,
Q,A-T,TOTAL,SA,JVR,NL,2002-Q3,
Q,A-T,TOTAL,SA,JVR,NL,2002-Q4,
Q,A-T,TOTAL,SA,JVR,NL,2003-Q1,
Q,A-T,TOTAL,SA,JVR,NL,2003-Q2,
Q,A-T,TOTAL,SA,JVR,NL,2003-Q3,
Q,A-T,TOTAL,SA,JVR,NL,2003-Q4,
Q,A-T,TOTAL,SA,JVR,NL,2004-Q1,
Q,A-T,TOTAL,SA,JVR,NL,2004-Q2,
Q,A-T,TOTAL,SA,JVR,NL,2004-Q3,
Q,A-T,TOTAL,SA,JVR,NL,2004-Q4,
Q,A-T,TOTAL,SA,JVR,NL,2005-Q1,
Q,A-T,TOTAL,SA,JVR,NL,2005-Q2,
Q,A-T,TOTAL,SA,JVR,NL,2005-Q3,
Q,A-T,TOTAL,SA,JVR,NL,2005-Q4,
Q,A-T,TOTAL,SA,JVR,NL,2006-Q1,
Q,A-T,TOTAL,SA,JVR,NL,2006-Q2,
Q,A-T,TOTAL,SA,JVR,NL,2006-Q3,
Q,A-T,TOTAL,SA,JVR,NL,2006-Q4,
Q,A-T,TOTAL,SA,JVR,NL,2007-Q1,
Q,A-T,TOTAL,SA,JVR,NL,2007-Q2,
Q,A-T,TOTAL,SA,JVR,NL,2007-Q3,
Q,A-T,TOTAL,SA,JVR,NL,2007-Q4,
Q,A-T,TOTAL,SA,JVR,NL,2008-Q1,3.0
Q,A-T,TOTAL,SA,JVR,NL,2008-Q2,3.0
Q,A-T,TOTAL,SA,JVR,NL,2008-Q3,3.0
Q,A-T,TOTAL,SA,JVR,NL,2008-Q4,2.4
Q,A-T,TOTAL,SA,JVR,NL,2009-Q1,1.9
