Period,Country,Immigration,Country-Unemployment,NL-Unemployment,Diff-Unemployment,Country-HICP-Monthly-Change,NL-HICP-Monthly-Change,Diff-HICP-Monthly-Change,Country-Industrial-Production,NL-Industrial-Production,Diff-Industrial-Production,Country-House-Price-Index,NL-House-Price-Index,Diff-House-Price-Index,Country-Job-Vacancy-Rate,NL-Job-Vacancy-Rate,Diff-Job-Vacancy-Rate,NL-Conjunctuurklok
199501,Bulgaria,14.0,,8.0,,,,,,,,,,,,,,
199502,Bulgaria,10.0,,8.1,,,,,,,,,,,,,,
199503,Bulgaria,14.0,,8.2,,,,,,,,,,,,,,
199504,Bulgaria,3.0,,8.3,,,,,,,,,,,,,,
199505,Bulgaria,3.0,,8.4,,,,,,,,,,,,,,
199506,Bulgaria,7.0,,8.4,,,,,,,,,,,,,,
199507,Bulgaria,7.0,,8.4,,,,,,,,,,,,,,
199508,Bulgaria,9.0,,8.4,,,,,,,,,,,,,,
199509,Bulgaria,8.0,,8.4,,,,,,,,,,,,,,
199510,Bulgaria,9.0,,8.4,,,,,,,,,,,,,,
199511,Bulgaria,11.0,,8.3,,,,,,,,,,,,,,
199512,Bulgaria,15.0,,8.3,,,,,,,,,,,,,,
199601,Bulgaria,14.0,,8.2,,,,,,,,,,,,,,
199602,Bulgaria,15.0,,8.1,,,0.5,,,,,,,,,,,
199603,Bulgaria,12.0,,8.0,,,1.2,,,,,,,,,,,
199604,Bulgaria,9.0,,7.9,,,0.3,,,,,,,,,,,
199605,Bulgaria,12.0,,7.8,,,-0.4,,,,,,,,,,,
199606,Bulgaria,9.0,,7.7,,,-0.5,,,,,,,,,,,
199607,Bulgaria,11.0,,7.6,,,-0.3,,,,,,,,,,,
199608,Bulgaria,8.0,,7.5,,,-0.2,,,,,,,,,,,
199609,Bulgaria,22.0,,7.4,,,1.1,,,,,,,,,,,
199610,Bulgaria,15.0,,7.3,,,0.3,,,,,,,,,,,
199611,Bulgaria,15.0,,7.2,,,-0.2,,,,,,,,,,,
199612,Bulgaria,22.0,,7.1,,,-0.1,,,,,,,,,,,
199701,Bulgaria,13.0,,7.0,,48.9,0.0,48.9,,,,,,,,,,
199702,Bulgaria,21.0,,6.9,,242.3,0.2,242.10000000000002,,,,,,,,,,
199703,Bulgaria,14.0,,6.8,,7.8,1.0,6.8,,,,,,,,,,
199704,Bulgaria,13.0,,6.7,,-0.4,0.1,-0.5,,,,,,,,,,
199705,Bulgaria,18.0,,6.6,,1.9,0.2,1.7,,,,,,,,,,
199706,Bulgaria,17.0,,6.5,,1.4,-0.6,2.0,,,,,,,,,,
199707,Bulgaria,16.0,,6.4,,2.5,0.1,2.4,,,,,,,,,,
199708,Bulgaria,17.0,,6.3,,5.5,0.4,5.1,,,,,,,,,,
199709,Bulgaria,34.0,,6.2,,3.8,1.1,2.6999999999999997,,,,,,,,,,
