freq,unit,coicop18,geo,time,value
M,RCH_M,TOTAL,BG,1996-01,
M,RCH_M,TOTAL,BG,1996-02,
M,RCH_M,TOTAL,BG,1996-03,
M,RCH_M,TOTAL,BG,1996-04,
M,RCH_M,TOTAL,BG,1996-05,
M,RCH_M,TOTAL,BG,1996-06,
M,RCH_M,TOTAL,BG,1996-07,
M,RCH_M,TOTAL,BG,1996-08,
M,RCH_M,TOTAL,BG,1996-09,
M,RCH_M,TOTAL,BG,1996-10,
M,RCH_M,TOTAL,BG,1996-11,
M,RCH_M,TOTAL,BG,1996-12,
M,RCH_M,TOTAL,BG,1997-01,48.9
M,RCH_M,TOTAL,BG,1997-02,242.3
M,RCH_M,TOTAL,BG,1997-03,7.8
M,RCH_M,TOTAL,BG,1997-04,-0.4
M,RCH_M,TOTAL,BG,1997-05,1.9
M,RCH_M,TOTAL,BG,1997-06,1.4
M,RCH_M,TOTAL,BG,1997-07,2.5
M,RCH_M,TOTAL,BG,1997-08,5.5
M,RCH_M,TOTAL,BG,1997-09,3.8
M,RCH_M,TOTAL,BG,1997-10,0.8
M,RCH_M,TOTAL,BG,1997-11,1.0
M,RCH_M,TOTAL,BG,1997-12,0.2
M,RCH_M,TOTAL,BG,1998-01,2.1
M,RCH_M,TOTAL,BG,1998-02,1.3
M,RCH_M,TOTAL,BG,1998-03,0.1
M,RCH_M,TOTAL,BG,1998-04,0.4
M,RCH_M,TOTAL,BG,1998-05,-1.7
M,RCH_M,TOTAL,BG,1998-06,-3.5
M,RCH_M,TOTAL,BG,1998-07,-0.7
M,RCH_M,TOTAL,BG,1998-08,0.3
M,RCH_M,TOTAL,BG,1998-09,3.2
M,RCH_M,TOTAL,BG,1998-10,0.3
M,RCH_M,TOTAL,BG,1998-11,-0.5
M,RCH_M,TOTAL,BG,1998-12,0.4
M,RCH_M,TOTAL,BG,1999-01,2.3
M,RCH_M,TOTAL,BG,1999-02,-0.7
M,RCH_M,TOTAL,BG,1999-03,-1.0
M,RCH_M,TOTAL,BG,1999-04,-0.6
M,RCH_M,TOTAL,BG,1999-05,-0.9
M,RCH_M,TOTAL,BG,1999-06,-0.9
M,RCH_M,TOTAL,BG,1999-07,3.4
M,RCH_M,TOTAL,BG,1999-08,0.8
M,RCH_M,TOTAL,BG,1999-09,1.5
M,RCH_M,TOTAL,BG,1999-10,1.2
M,RCH_M,TOTAL,BG,1999-11,0.5
M,RCH_M,TOTAL,BG,1999-12,1.3
M,RCH_M,TOTAL,BG,2000-01,2.4
M,RCH_M,TOTAL,BG,2000-02,1.1
M,RCH_M,TOTAL,BG,2000-03,-0.3
M,RCH_M,TOTAL,BG,2000-04,-1.1
M,RCH_M,TOTAL,BG,2000-05,0.1
M,RCH_M,TOTAL,BG,2000-06,0.2
M,RCH_M,TOTAL,BG,2000-07,0.6
M,RCH_M,TOTAL,BG,2000-08,3.0
M,RCH_M,TOTAL,BG,2000-09,2.3
M,RCH_M,TOTAL,BG,2000-10,1.2
M,RCH_M,TOTAL,BG,2000-11,0.8
M,RCH_M,TOTAL,BG,2000-12,0.4
M,RCH_M,TOTAL,BG,2001-01,0.6
M,RCH_M,TOTAL,BG,2001-02,0.3
M,RCH_M,TOTAL,BG,2001-03,0.0
M,RCH_M,TOTAL,BG,2001-04,-0.2
M,RCH_M,TOTAL,BG,2001-05,0.0
M,RCH_M,TOTAL,BG,2001-06,-0.1
M,RCH_M,TOTAL,BG,2001-07,-0.2
M,RCH_M,TOTAL,BG,2001-08,0.3
M,RCH_M,TOTAL,BG,2001-09,1.3
M,RCH_M,TOTAL,BG,2001-10,1.7
M,RCH_M,TOTAL,BG,2001-11,0.2
M,RCH_M,TOTAL,BG,2001-12,0.6
M,RCH_M,TOTAL,BG,2002-01,2.7
M,RCH_M,TOTAL,BG,2002-02,1.6
M,RCH_M,TOTAL,BG,2002-03,0.8
M,RCH_M,TOTAL,BG,2002-04,-0.1
M,RCH_M,TOTAL,BG,2002-05,-2.1
M,RCH_M,TOTAL,BG,2002-06,-1.7
M,RCH_M,TOTAL,BG,2002-07,0.1
M,RCH_M,TOTAL,BG,2002-08,-0.7
