freq,purchase,unit,geo,time,value
Q,TOTAL,I15_Q,BG,2005-Q1,76.01
Q,TOTAL,I15_Q,BG,2005-Q2,79.26
Q,TOTAL,I15_Q,BG,2005-Q3,81.55
Q,TOTAL,I15_Q,BG,2005-Q4,83.52
Q,TOTAL,I15_Q,BG,2006-Q1,87.47
Q,TOTAL,I15_Q,BG,2006-Q2,88.91
Q,TOTAL,I15_Q,BG,2006-Q3,92.96
Q,TOTAL,I15_Q,BG,2006-Q4,98.09
Q,TOTAL,I15_Q,BG,2007-Q1,107.23
Q,TOTAL,I15_Q,BG,2007-Q2,112.97
Q,TOTAL,I15_Q,BG,2007-Q3,121.42
Q,TOTAL,I15_Q,BG,2007-Q4,132.06
Q,TOTAL,I15_Q,BG,2008-Q1,141.08
Q,TOTAL,I15_Q,BG,2008-Q2,149.36
Q,TOTAL,I15_Q,BG,2008-Q3,153.92
Q,TOTAL,I15_Q,BG,2008-Q4,147.53
Q,TOTAL,I15_Q,BG,2009-Q1,130.77
Q,TOTAL,I15_Q,BG,2009-Q2,118.17
Q,TOTAL,I15_Q,BG,2009-Q3,112.62
Q,TOTAL,I15_Q,BG,2009-Q4,109.58
Q,TOTAL,I15_Q,BG,2010-Q1,107.18
Q,TOTAL,I15_Q,BG,2010-Q2,106.52
Q,TOTAL,I15_Q,BG,2010-Q3,105.38
Q,TOTAL,I15_Q,BG,2010-Q4,104.15
Q,TOTAL,I15_Q,BG,2011-Q1,102.03
Q,TOTAL,I15_Q,BG,2011-Q2,100.23
Q,TOTAL,I15_Q,BG,2011-Q3,99.54
Q,TOTAL,I15_Q,BG,2011-Q4,98.1
Q,TOTAL,I15_Q,BG,2012-Q1,98.23
Q,TOTAL,I15_Q,BG,2012-Q2,98.67
Q,TOTAL,I15_Q,BG,2012-Q3,98.57
Q,TOTAL,I15_Q,BG,2012-Q4,96.82
Q,TOTAL,I15_Q,BG,2013-Q1,96.0
Q,TOTAL,I15_Q,BG,2013-Q2,96.48
Q,TOTAL,I15_Q,BG,2013-Q3,95.52
Q,TOTAL,I15_Q,BG,2013-Q4,95.66
Q,TOTAL,I15_Q,BG,2014-Q1,96.66
Q,TOTAL,I15_Q,BG,2014-Q2,96.97
Q,TOTAL,I15_Q,BG,2014-Q3,97.21
Q,TOTAL,I15_Q,BG,2014-Q4,98.32
Q,TOTAL,I15_Q,BG,2015-Q1,98.85
Q,TOTAL,I15_Q,BG,2015-Q2,99.71
Q,TOTAL,I15_Q,BG,2015-Q3,99.21
Q,TOTAL,I15_Q,BG,2015-Q4,102.23
Q,TOTAL,I15_Q,BG,2016-Q1,103.38
Q,TOTAL,I15_Q,BG,2016-Q2,106.24
Q,TOTAL,I15_Q,BG,2016-Q3,107.94
Q,TOTAL,I15_Q,BG,2016-Q4,110.52
Q,TOTAL,I15_Q,BG,2017-Q1,112.66
Q,TOTAL,I15_Q,BG,2017-Q2,115.37
Q,TOTAL,I15_Q,BG,2017-Q3,117.62
Q,TOTAL,I15_Q,BG,2017-Q4,119.53
Q,TOTAL,I15_Q,BG,2018-Q1,120.65
Q,TOTAL,I15_Q,BG,2018-Q2,124.03
Q,TOTAL,I15_Q,BG,2018-Q3,124.99
Q,TOTAL,I15_Q,BG,2018-Q4,126.15
Q,TOTAL,I15_Q,BG,2019-Q1,129.45
Q,TOTAL,I15_Q,BG,2019-Q2,130.26
Q,TOTAL,I15_Q,BG,2019-Q3,131.97
Q,TOTAL,I15_Q,BG,2019-Q4,133.99
Q,TOTAL,I15_Q,BG,2020-Q1,135.54
