freq,indic_bt,nace_r2,s_adj,unit,geo,time,value
M,PRD,B-D,SCA,I21,BG,1953-01,
M,PRD,B-D,SCA,I21,BG,1953-02,
M,PRD,B-D,SCA,I21,BG,1953-03,
M,PRD,B-D,SCA,I21,BG,1953-04,
M,PRD,B-D,SCA,I21,BG,1953-05,
M,PRD,B-D,SCA,I21,BG,1953-06,
M,PRD,B-D,SCA,I21,BG,1953-07,
M,PRD,B-D,SCA,I21,BG,1953-08,
M,PRD,B-D,SCA,I21,BG,1953-09,
M,PRD,B-D,SCA,I21,BG,1953-10,
M,PRD,B-D,SCA,I21,BG,1953-11,
M,PRD,B-D,SCA,I21,BG,1953-12,
M,PRD,B-D,SCA,I21,BG,1954-01,
M,PRD,B-D,SCA,I21,BG,1954-02,
M,PRD,B-D,SCA,I21,BG,1954-03,
M,PRD,B-D,SCA,I21,BG,1954-04,
M,PRD,B-D,SCA,I21,BG,1954-05,
M,PRD,B-D,SCA,I21,BG,1954-06,
M,PRD,B-D,SCA,I21,BG,1954-07,
M,PRD,B-D,SCA,I21,BG,1954-08,
M,PRD,B-D,SCA,I21,BG,1954-09,
M,PRD,B-D,SCA,I21,BG,1954-10,
M,PRD,B-D,SCA,I21,BG,1954-11,
M,PRD,B-D,SCA,I21,BG,1954-12,
M,PRD,B-D,SCA,I21,BG,1955-01,
M,PRD,B-D,SCA,I21,BG,1955-02,
M,PRD,B-D,SCA,I21,BG,1955-03,
M,PRD,B-D,SCA,I21,BG,1955-04,
M,PRD,B-D,SCA,I21,BG,1955-05,
M,PRD,B-D,SCA,I21,BG,1955-06,
M,PRD,B-D,SCA,I21,BG,1955-07,
M,PRD,B-D,SCA,I21,BG,1955-08,
M,PRD,B-D,SCA,I21,BG,1955-09,
M,PRD,B-D,SCA,I21,BG,1955-10,
M,PRD,B-D,SCA,I21,BG,1955-11,
M,PRD,B-D,SCA,I21,BG,1955-12,
M,PRD,B-D,SCA,I21,BG,1956-01,
M,PRD,B-D,SCA,I21,BG,1956-02,
M,PRD,B-D,SCA,I21,BG,1956-03,
M,PRD,B-D,SCA,I21,BG,1956-04,
M,PRD,B-D,SCA,I21,BG,1956-05,
M,PRD,B-D,SCA,I21,BG,1956-06,
M,PRD,B-D,SCA,I21,BG,1956-07,
M,PRD,B-D,SCA,I21,BG,1956-08,
M,PRD,B-D,SCA,I21,BG,1956-09,
M,PRD,B-D,SCA,I21,BG,1956-10,
M,PRD,B-D,SCA,I21,BG,1956-11,
M,PRD,B-D,SCA,I21,BG,1956-12,
M,PRD,B-D,SCA,I21,BG,1957-01,
M,PRD,B-D,SCA,I21,BG,1957-02,
M,PRD,B-D,SCA,I21,BG,1957-03,
M,PRD,B-D,SCA,I21,BG,1957-04,
M,PRD,B-D,SCA,I21,BG,1957-05,
M,PRD,B-D,SCA,I21,BG,1957-06,
M,PRD,B-D,SCA,I21,BG,1957-07,
M,PRD,B-D,SCA,I21,BG,1957-08,
M,PRD,B-D,SCA,I21,BG,1957-09,
M,PRD,B-D,SCA,I21,BG,1957-10,
M,PRD,B-D,SCA,I21,BG,1957-11,
M,PRD,B-D,SCA,I21,BG,1957-12,
M,PRD,B-D,SCA,I21,BG,1958-01,
M,PRD,B-D,SCA,I21,BG,1958-02,
M,PRD,B-D,SCA,I21,BG,1958-03,
M,PRD,B-D,SCA,I21,BG,1958-04,
M,PRD,B-D,SCA,I21,BG,1958-05,
M,PRD,B-D,SCA,I21,BG,1958-06,
M,PRD,B-D,SCA,I21,BG,1958-07,
M,PRD,B-D,SCA,I21,BG,1958-08,
M,PRD,B-D,SCA,I21,BG,1958-09,
M,PRD,B-D,SCA,I21,BG,1958-10,
M,PRD,B-D,SCA,I21,BG,1958-11,
M,PRD,B-D,SCA,I21,BG,1958-12,
M,PRD,B-D,SCA,I21,BG,1959-01,
M,PRD,B-D,SCA,I21,BG,1959-02,
M,PRD,B-D,SCA,I21,BG,1959-03,
M,PRD,B-D,SCA,I21,BG,1959-04,
M,PRD,B-D,SCA,I21,BG,1959-05,
M,PRD,B-D,SCA,I21,BG,1959-06,
M,PRD,B-D,SCA,I21,BG,1959-07,
M,PRD,B-D,SCA,I21,BG,1959-08,
M,PRD,B-D,SCA,I21,BG,1959-09,
M,PRD,B-D,SCA,I21,BG,1959-10,
M,PRD,B-D,SCA,I21,BG,1959-11,
M,PRD,B-D,SCA,I21,BG,1959-12,
M,PRD,B-D,SCA,I21,BG,1960-01,
M,PRD,B-D,SCA,I21,BG,1960-02,
M,PRD,B-D,SCA,I21,BG,1960-03,
M,PRD,B-D,SCA,I21,BG,1960-04,
M,PRD,B-D,SCA,I21,BG,1960-05,
M,PRD,B-D,SCA,I21,BG,1960-06,
M,PRD,B-D,SCA,I21,BG,1960-07,
M,PRD,B-D,SCA,I21,BG,1960-08,
M,PRD,B-D,SCA,I21,BG,1960-09,
M,PRD,B-D,SCA,I21,BG,1960-10,
M,PRD,B-D,SCA,I21,BG,1960-11,
M,PRD,B-D,SCA,I21,BG,1960-12,
M,PRD,B-D,SCA,I21,BG,1961-01,
M,PRD,B-D,SCA,I21,BG,1961-02,
M,PRD,B-D,SCA,I21,BG,1961-03,
M,PRD,B-D,SCA,I21,BG,1961-04,
M,PRD,B-D,SCA,I21,BG,1961-05,
M,PRD,B-D,SCA,I21,BG,1961-06,
M,PRD,B-D,SCA,I21,BG,1961-07,
M,PRD,B-D,SCA,I21,BG,1961-08,
M,PRD,B-D,SCA,I21,BG,1961-09,
M,PRD,B-D,SCA,I21,BG,1961-10,
