freq,s_adj,age,unit,sex,geo,time,value
M,SA,TOTAL,PC_ACT,T,BG,1995-01,
M,SA,TOTAL,PC_ACT,T,BG,1995-02,
M,SA,TOTAL,PC_ACT,T,BG,1995-03,
M,SA,TOTAL,PC_ACT,T,BG,1995-04,
M,SA,TOTAL,PC_ACT,T,BG,1995-05,
M,SA,TOTAL,PC_ACT,T,BG,1995-06,
M,SA,TOTAL,PC_ACT,T,BG,1995-07,
M,SA,TOTAL,PC_ACT,T,BG,1995-08,
M,SA,TOTAL,PC_ACT,T,BG,1995-09,
M,SA,TOTAL,PC_ACT,T,BG,1995-10,
M,SA,TOTAL,PC_ACT,T,BG,1995-11,
M,SA,TOTAL,PC_ACT,T,BG,1995-12,
M,SA,TOTAL,PC_ACT,T,BG,1996-01,
M,SA,TOTAL,PC_ACT,T,BG,1996-02,
M,SA,TOTAL,PC_ACT,T,BG,1996-03,
M,SA,TOTAL,PC_ACT,T,BG,1996-04,
M,SA,TOTAL,PC_ACT,T,BG,1996-05,
M,SA,TOTAL,PC_ACT,T,BG,1996-06,
M,SA,TOTAL,PC_ACT,T,BG,1996-07,
M,SA,TOTAL,PC_ACT,T,BG,1996-08,
M,SA,TOTAL,PC_ACT,T,BG,1996-09,
M,SA,TOTAL,PC_ACT,T,BG,1996-10,
M,SA,TOTAL,PC_ACT,T,BG,1996-11,
M,SA,TOTAL,PC_ACT,T,BG,1996-12,
M,SA,TOTAL,PC_ACT,T,BG,1997-01,
M,SA,TOTAL,PC_ACT,T,BG,1997-02,
M,SA,TOTAL,PC_ACT,T,BG,1997-03,
M,SA,TOTAL,PC_ACT,T,BG,1997-04,
M,SA,TOTAL,PC_ACT,T,BG,1997-05,
M,SA,TOTAL,PC_ACT,T,BG,1997-06,
M,SA,TOTAL,PC_ACT,T,BG,1997-07,
M,SA,TOTAL,PC_ACT,T,BG,1997-08,
M,SA,TOTAL,PC_ACT,T,BG,1997-09,
M,SA,TOTAL,PC_ACT,T,BG,1997-10,
M,SA,TOTAL,PC_ACT,T,BG,1997-11,
M,SA,TOTAL,PC_ACT,T,BG,1997-12,
M,SA,TOTAL,PC_ACT,T,BG,1998-01,
M,SA,TOTAL,PC_ACT,T,BG,1998-02,
M,SA,TOTAL,PC_ACT,T,BG,1998-03,
M,SA,TOTAL,PC_ACT,T,BG,1998-04,
M,SA,TOTAL,PC_ACT,T,BG,1998-05,
M,SA,TOTAL,PC_ACT,T,BG,1998-06,
M,SA,TOTAL,PC_ACT,T,BG,1998-07,
M,SA,TOTAL,PC_ACT,T,BG,1998-08,
M,SA,TOTAL,PC_ACT,T,BG,1998-09,
M,SA,TOTAL,PC_ACT,T,BG,1998-10,
M,SA,TOTAL,PC_ACT,T,BG,1998-11,
M,SA,TOTAL,PC_ACT,T,BG,1998-12,
M,SA,TOTAL,PC_ACT,T,BG,1999-01,
M,SA,TOTAL,PC_ACT,T,BG,1999-02,
M,SA,TOTAL,PC_ACT,T,BG,1999-03,
M,SA,TOTAL,PC_ACT,T,BG,1999-04,
M,SA,TOTAL,PC_ACT,T,BG,1999-05,
M,SA,TOTAL,PC_ACT,T,BG,1999-06,
M,SA,TOTAL,PC_ACT,T,BG,1999-07,
M,SA,TOTAL,PC_ACT,T,BG,1999-08,
M,SA,TOTAL,PC_ACT,T,BG,1999-09,
M,SA,TOTAL,PC_ACT,T,BG,1999-10,
M,SA,TOTAL,PC_ACT,T,BG,1999-11,
M,SA,TOTAL,PC_ACT,T,BG,1999-12,
M,SA,TOTAL,PC_ACT,T,BG,2000-01,14.3
M,SA,TOTAL,PC_ACT,T,BG,2000-02,14.7
M,SA,TOTAL,PC_ACT,T,BG,2000-03,15.2
M,SA,TOTAL,PC_ACT,T,BG,2000-04,15.7
M,SA,TOTAL,PC_ACT,T,BG,2000-05,16.0
M,SA,TOTAL,PC_ACT,T,BG,2000-06,16.3
M,SA,TOTAL,PC_ACT,T,BG,2000-07,16.8
M,SA,TOTAL,PC_ACT,T,BG,2000-08,17.2
M,SA,TOTAL,PC_ACT,T,BG,2000-09,17.5
M,SA,TOTAL,PC_ACT,T,BG,2000-10,17.7
M,SA,TOTAL,PC_ACT,T,BG,2000-11,17.9
M,SA,TOTAL,PC_ACT,T,BG,2000-12,18.1
M,SA,TOTAL,PC_ACT,T,BG,2001-01,18.5
M,SA,TOTAL,PC_ACT,T,BG,2001-02,18.8
M,SA,TOTAL,PC_ACT,T,BG,2001-03,19.2
M,SA,TOTAL,PC_ACT,T,BG,2001-04,19.9
M,SA,TOTAL,PC_ACT,T,BG,2001-05,20.1
M,SA,TOTAL,PC_ACT,T,BG,2001-06,20.1
M,SA,TOTAL,PC_ACT,T,BG,2001-07,20.0
M,SA,TOTAL,PC_ACT,T,BG,2001-08,19.9
M,SA,TOTAL,PC_ACT,T,BG,2001-09,19.8
M,SA,TOTAL,PC_ACT,T,BG,2001-10,19.7
M,SA,TOTAL,PC_ACT,T,BG,2001-11,19.9
M,SA,TOTAL,PC_ACT,T,BG,2001-12,19.8
M,SA,TOTAL,PC_ACT,T,BG,2002-01,19.4
M,SA,TOTAL,PC_ACT,T,BG,2002-02,19.3
M,SA,TOTAL,PC_ACT,T,BG,2002-03,18.9
M,SA,TOTAL,PC_ACT,T,BG,2002-04,18.7
M,SA,TOTAL,PC_ACT,T,BG,2002-05,18.5
M,SA,TOTAL,PC_ACT,T,BG,2002-06,18.3
M,SA,TOTAL,PC_ACT,T,BG,2002-07,18.3
M,SA,TOTAL,PC_ACT,T,BG,2002-08,18.3
M,SA,TOTAL,PC_ACT,T,BG,2002-09,18.1
M,SA,TOTAL,PC_ACT,T,BG,2002-10,17.8
M,SA,TOTAL,PC_ACT,T,BG,2002-11,16.9
M,SA,TOTAL,PC_ACT,T,BG,2002-12,15.9
M,SA,TOTAL,PC_ACT,T,BG,2003-01,15.6
M,SA,TOTAL,PC_ACT,T,BG,2003-02,14.9
M,SA,TOTAL,PC_ACT,T,BG,2003-03,14.6
M,SA,TOTAL,PC_ACT,T,BG,2003-04,14.3
M,SA,TOTAL,PC_ACT,T,BG,2003-05,14.2
M,SA,TOTAL,PC_ACT,T,BG,2003-06,13.9
M,SA,TOTAL,PC_ACT,T,BG,2003-07,13.6
M,SA,TOTAL,PC_ACT,T,BG,2003-08,13.3
M,SA,TOTAL,PC_ACT,T,BG,2003-09,13.0
M,SA,TOTAL,PC_ACT,T,BG,2003-10,12.7
M,SA,TOTAL,PC_ACT,T,BG,2003-11,12.7
M,SA,TOTAL,PC_ACT,T,BG,2003-12,12.7
M,SA,TOTAL,PC_ACT,T,BG,2004-01,12.8
M,SA,TOTAL,PC_ACT,T,BG,2004-02,12.8
M,SA,TOTAL,PC_ACT,T,BG,2004-03,12.7
M,SA,TOTAL,PC_ACT,T,BG,2004-04,12.6
M,SA,TOTAL,PC_ACT,T,BG,2004-05,12.3
M,SA,TOTAL,PC_ACT,T,BG,2004-06,12.0
M,SA,TOTAL,PC_ACT,T,BG,2004-07,11.6
M,SA,TOTAL,PC_ACT,T,BG,2004-08,11.5
M,SA,TOTAL,PC_ACT,T,BG,2004-09,11.5
M,SA,TOTAL,PC_ACT,T,BG,2004-10,11.8
M,SA,TOTAL,PC_ACT,T,BG,2004-11,11.7
M,SA,TOTAL,PC_ACT,T,BG,2004-12,11.5
M,SA,TOTAL,PC_ACT,T,BG,2005-01,11.2
M,SA,TOTAL,PC_ACT,T,BG,2005-02,10.9
M,SA,TOTAL,PC_ACT,T,BG,2005-03,10.6
M,SA,TOTAL,PC_ACT,T,BG,2005-04,10.4
M,SA,TOTAL,PC_ACT,T,BG,2005-05,10.1
M,SA,TOTAL,PC_ACT,T,BG,2005-06,9.9
M,SA,TOTAL,PC_ACT,T,BG,2005-07,9.7
M,SA,TOTAL,PC_ACT,T,BG,2005-08,9.7
M,SA,TOTAL,PC_ACT,T,BG,2005-09,9.7
M,SA,TOTAL,PC_ACT,T,BG,2005-10,9.9
M,SA,TOTAL,PC_ACT,T,BG,2005-11,9.8
M,SA,TOTAL,PC_ACT,T,BG,2005-12,9.7
M,SA,TOTAL,PC_ACT,T,BG,2006-01,9.5
M,SA,TOTAL,PC_ACT,T,BG,2006-02,9.2
M,SA,TOTAL,PC_ACT,T,BG,2006-03,9.1
M,SA,TOTAL,PC_ACT,T,BG,2006-04,9.0
M,SA,TOTAL,PC_ACT,T,BG,2006-05,9.1
M,SA,TOTAL,PC_ACT,T,BG,2006-06,9.2
M,SA,TOTAL,PC_ACT,T,BG,2006-07,9.3
M,SA,TOTAL,PC_ACT,T,BG,2006-08,9.3
M,SA,TOTAL,PC_ACT,T,BG,2006-09,9.0
M,SA,TOTAL,PC_ACT,T,BG,2006-10,8.6
M,SA,TOTAL,PC_ACT,T,BG,2006-11,8.5
M,SA,TOTAL,PC_ACT,T,BG,2006-12,8.2
M,SA,TOTAL,PC_ACT,T,BG,2007-01,7.9
M,SA,TOTAL,PC_ACT,T,BG,2007-02,7.5
M,SA,TOTAL,PC_ACT,T,BG,2007-03,7.3
M,SA,TOTAL,PC_ACT,T,BG,2007-04,7.1
M,SA,TOTAL,PC_ACT,T,BG,2007-05,7.0
M,SA,TOTAL,PC_ACT,T,BG,2007-06,6.9
